WORD ENTROPY DISPERSION STD CONCRETENESS
diet N/A N/A N/A 3.21
skirt N/A N/A N/A 4.82
journey N/A N/A N/A 2.57
weekend N/A N/A N/A 3.83
bullet N/A N/A N/A 4.83
potato N/A N/A N/A 4.85
assume N/A N/A N/A 1.75
yacht N/A N/A N/A 4.97
jacket N/A N/A N/A 4.86
gorilla 200.992868358 0.154862111041 0.79667 4.97
teeth 287.615282216 0.208064221408 1.022 4.96
precedent N/A N/A N/A 1.63
gown N/A N/A N/A 4.61
concept N/A N/A N/A 1.41
chain N/A N/A N/A 4.55
dance N/A N/A N/A 4.32
skis N/A N/A N/A N/A
rod 219.682137295 0.169496176141 0.89369 4.43
focus N/A N/A N/A 2.35
crocodile 232.091388654 0.172738976258 0.81015 4.83
manager 237.366148594 0.193884512108 0.81448 4.14
skate N/A N/A N/A 4.56
microwave N/A N/A N/A 4.34
computation N/A N/A N/A 2.92
skin N/A N/A N/A 4.79
battle N/A N/A N/A 4
chair N/A N/A N/A 4.58
milk N/A N/A N/A 4.92
row N/A N/A N/A 3.93
grape N/A N/A N/A 5
zone N/A N/A N/A 3.07
father N/A N/A N/A 4.52
environment N/A N/A N/A 3.74
reptiles 268.036787637 0.193264127833 0.95252 N/A
rhythm N/A N/A N/A 3.07
terror N/A N/A N/A 2.43
sing N/A N/A N/A 4.34
dragonfly 205.976601139 0.165507112524 0.81889 4.83
string N/A N/A N/A 4.76
choice N/A N/A N/A 1.9
liability N/A N/A N/A 1.96
join N/A N/A N/A 2.86
minute N/A N/A N/A 3.04
level N/A N/A N/A 2.86
tear N/A N/A N/A 4.56
fragile N/A N/A N/A 2.86
gun N/A N/A N/A 4.83
leave N/A N/A N/A 2.53
subway N/A N/A N/A 4.86
team N/A N/A N/A 3.79
quick N/A N/A N/A 2.89
sidewalk 276.908831043 0.198061339296 0.85748 4.96
round N/A N/A N/A 3.9
blade 271.213555563 0.195832863854 0.91489 4.93
collage N/A N/A N/A 4.6
discover N/A N/A N/A 2.37
sign N/A N/A N/A 4.62
scarce N/A N/A N/A 2.57
port N/A N/A N/A 4.41
hymn N/A N/A N/A 4.04
rainbow N/A N/A N/A 4.57
appear N/A N/A N/A 3.13
uniform N/A N/A N/A 4.67
